Title,Year,Country,Rating,Votes,Director,Actors,Link
El padrino,1972,Estados Unidos,9.0,177087,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan, Robert Duvall, Diane Keaton",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film809297.html
El padrino. Parte II,1974,Estados Unidos,8.9,141484,Francis Ford Coppola,"Al Pacino, Robert De Niro, Diane Keaton, Robert Duvall, John Cazale",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film730528.html
Doce hombres sin piedad,1957,Estados Unidos,8.7,73359,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Jack Warden, E.G. Marshall, Martin Balsam",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film695552.html
La lista de Schindler,1993,Estados Unidos,8.6,177326,Steven Spielberg,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film656153.html
Testigo de cargo,1957,Estados Unidos,8.6,46431,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film667376.html
Cadena perpetua,1994,Estados Unidos,8.6,171932,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton, James Whitmore, Gil Bellows",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film161026.html
Luces de la ciudad,1931,Estados Unidos,8.6,33753,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Allan Garcia",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film750301.html
El gran dictador,1940,Estados Unidos,8.6,86906,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, Henry Daniell",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film155010.html
Pulp Fiction,1994,Estados Unidos,8.6,204973,Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film160882.html
Tiempos modernos,1936,Estados Unidos,8.6,64405,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Chester Conklin, Stanley Stanford",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film726746.html
El golpe,1973,Estados Unidos,8.5,102628,George Roy Hill,"Robert Redford, Paul Newman, Robert Shaw, Charles Durning, Ray Walston",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film385464.html
Ser o no ser,1942,Estados Unidos,8.5,36581,Ernst Lubitsch,"Carole Lombard, Jack Benny, Robert Stack, Stanley Ridges, Felix Bressart",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film684718.html
Harakiri,1962,Japón,8.5,14886,Masaki Kobayashi,"Tatsuya Nakadai, Rentarô Mikuni, Akira Ishihama, Shima Iwashita, Tetsurô Tanba",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film209631.html
El crepúsculo de los dioses,1950,Estados Unidos,8.5,48382,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Lloyd Gough",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film536488.html
La vida es bella,1997,Italia,8.5,193641,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Marisa Paredes, Giustino Durano",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film594480.html
Senderos de gloria,1957,Estados Unidos,8.4,57805,Stanley Kubrick,"Kirk Douglas, George Macready, Adolphe Menjou, Ralph Meeker, Wayne Morris",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film448956.html
Eva al desnudo,1950,Estados Unidos,8.4,36727,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm, Marilyn Monroe",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film412657.html
Los siete samuráis,1954,Japón,8.4,44022,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Yoshio Inaba, Seiji Miyaguchi, Minoru Chiaki",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film168398.html
El infierno del odio,1963,Japón,8.4,11048,Akira Kurosawa,"Toshirô Mifune, Kyôko Kagawa, Yutaka Sada, Takashi Shimura, Tatsuya Mihashi",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film914275.html
Amanecer,1927,Estados Unidos,8.4,15073,F.W. Murnau,"George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing, J. Farrell MacDonald",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film357856.html
Perdición,1944,Estados Unidos,8.4,35281,Billy Wilder,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Tom Powers, Porter Hall",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film207165.html
El apartamento,1960,Estados Unidos,8.4,83736,Billy Wilder,"Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Edie Adams",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film795770.html
Ciudad de Dios,2002,Brasil,8.4,130736,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Seu Jorge",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film412004.html
El chico,1921,Estados Unidos,8.4,34114,Charles Chaplin,"Charles Chaplin, Jackie Coogan, Edna Purviance, Carl Miller, Tom Wilson",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film344683.html
Psicosis,1960,Estados Unidos,8.4,111298,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, John Gavin, Vera Miles, John McIntire",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film363992.html
La evasión,1960,Francia,8.4,13813,Jacques Becker,"Philippe Leroy, Marc Michel, Michel Constantin, Jean Kéraudy, Raymond Meunier, André Bervil",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film803236.html
Uno de los nuestros,1990,Estados Unidos,8.4,116329,Martin Scorsese,"Ray Liotta, Robert De Niro, Joe Pesci, Lorraine Bracco, Paul Sorvino",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film978961.html
La quimera del oro,1925,Estados Unidos,8.4,28755,Charles Chaplin,"Charles Chaplin, Mack Swain, Georgia Hale, Tom Murray, Malcom Waite",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film811454.html
Casablanca,1942,Estados Unidos,8.4,100195,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film165208.html
El hombre que mató a Liberty Valance,1962,Estados Unidos,8.3,35880,John Ford,"John Wayne, James Stewart, Vera Miles, Lee Marvin, Edmond O'Brien",https://www.filmaffinity.comhttps://www.filmaffinity.com/es/film914839.html
